Назва ,Усього
Одеська область,638797.6
м.Одеса,390722.9
м.Балта,69.2
м.Білгород-Дністровський,10302.1
м.Біляївка,2.1
м.Ізмаїл,3729.9
м.Чорноморськ,19166.8
м.Подільськ,154.3
м.Теплодар,4.1
м.Южне,98704.5
Ананьївський,440.2
Арцизький,6617.6
Балтський,1141.9
Білгород-Дністровський,9012.9
Біляївський,2525.9
Березівський,1226
Болградський,1378.9
Великомихайлівський,1027.5
Іванівський,1194.3
Ізмаїльський,2845.2
Кілійський,10429.4
Кодимський,91.4
Лиманський,27768.4
Подільський,9.9
Окнянський,37.5
Любашівський,944.1
Миколаївський,–
Овідіопольський,35464.8
Роздільнянський,903.6
Ренійський,3469.2
Савранський,166.8
Саратський,49.6
Тарутинський,8395.6
Татарбунарський,250
Захарівський,426
Ширяївський,125
